order_id,depot_id,type,parcel_size,dest_zone,scanned_at
165387601,103410,global_inbound,s,F01-C (LORONG 6 TOA PAYOH),2023-01-09 18:30:47
165387601,103410,global_inbound,s,F01-C (LORONG 6 TOA PAYOH),2023-01-09 18:59:39
165387601,255,warehouse_sweep,s,F01-C (LORONG 6 TOA PAYOH),2023-01-10 06:54:02
166121091,2,warehouse_sweep,m,D09-H,2023-01-03 21:51:47
166121091,2,warehouse_sweep,m,D09-H,2023-01-03 21:52:21
166121091,2,warehouse_sweep,m,D09-H,2023-01-04 21:35:29
166121091,103410,global_inbound,m,D09-H,2023-01-05 04:15:45
166121091,103410,warehouse_sweep,m,D09-H,2023-01-05 04:16:39
166121091,104957,warehouse_sweep,m,D09-H,2023-01-05 23:19:14
166121091,104957,warehouse_sweep,m,D09-H,2023-01-06 05:21:15
166121091,97,warehouse_sweep,m,D09-H,2023-01-06 10:57:56
166310371,103410,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-02 18:57:41
166310371,103410,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-02 18:57:43
166310371,103410,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-02 18:57:43
166310371,103410,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-02 18:59:40
166310371,103410,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-02 18:59:41
166310371,103430,global_inbound,m,J10-K (KOON SENG ROAD),2023-01-02 20:04:08
166310371,103430,global_inbound,m,J10-K (KOON SENG ROAD),2023-01-02 20:04:12
166310371,103430,global_inbound,m,J10-K (KOON SENG ROAD),2023-01-02 20:04:17
166310371,2,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-04 02:18:17
166310371,2,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-04 02:18:18
166310371,2,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-04 02:18:23
166310371,109,global_inbound,m,J10-K (KOON SENG ROAD),2023-01-04 10:16:48
166310371,109,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-04 10:18:38
166310371,104957,warehouse_sweep,m,J10-K (KOON SENG ROAD),2023-01-05 00:15:56
166379961,2,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-02 22:00:41
166379961,2,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-03 21:27:10
166379961,2,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-03 21:27:32
166379961,2,global_inbound,l,D03-H (KAY SIANG ROAD),2023-01-04 06:03:16
166379961,2,global_inbound,l,D03-H (KAY SIANG ROAD),2023-01-04 06:14:10
166379961,109,global_inbound,l,D03-H (KAY SIANG ROAD),2023-01-04 10:39:47
166379961,109,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-04 10:40:01
166379961,223,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-05 00:30:31
166379961,103410,global_inbound,l,D03-H (KAY SIANG ROAD),2023-01-07 00:55:57
166379961,103410,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-07 00:59:57
166379961,104957,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-07 04:35:26
166379961,104957,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-09 07:11:53
166379961,97,warehouse_sweep,l,D03-H (KAY SIANG ROAD),2023-01-09 10:44:58
166496291,2,warehouse_sweep,xs,,2023-01-02 21:55:48
166496291,2,warehouse_sweep,xs,,2023-01-03 21:31:45
166496291,103410,global_inbound,xs,,2023-01-04 01:52:27
166496291,104957,warehouse_sweep,xs,,2023-01-04 03:28:30
166496291,104957,warehouse_sweep,xs,,2023-01-04 04:08:21
